This page is not mobile-friendly; please access on a computer if you can.	Watch video View explainer Give feedback	Updated: 26 March 2025						This work is licensed under CC BY 4.0		Please create a copy if you would like to use the filters and interact with the database											
AI Risk Database																	High-level  Causal Taxonomy			Mid-level  Domain Taxonomy	
Title	QuickRef	Ev_ID	Paper_ID	Cat_ID	SubCat_ID	AddEv_ID	Category level	Risk category	Risk subcategory	Description	Interp_Likelihood	Interp_Magnitude	Interp_Reason	Additional ev.	P.Def	p.AddEv	Entity	Intent	Timing	Domain	Sub-domain
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.00.00	1				Paper											
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.01.00	1	1	0		Risk Category	Type 1: Diffusion of responsibility		"Societal-scale harm can arise from AI built by a diffuse collection of creators, where no one is uniquely accountable for the technology's creation or use, as in a classic ""tragedy of the commons""."	4	4	Open-source interpretability tools would enable more diffuse creators to build powerful AI systems without coordinated oversight, increasing both the probability of unaccountable deployment and the potential scale of harm from distributed irresponsible development.	1 - Human	2 - Unintentional	3 - Other	6. Socioeconomic and Environmental	6.5 > Governance failure
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.01.00.a	1	1	0	1	Additional evidence	Type 1: Diffusion of responsibility			"Example: ""Scientists develop an algorithm for predicting the answers to questions about a person, as a function of freely available and purchasable information about the person (social media, resumes, browsing history, purchasing history, etc.). The algorithm is made freely available to the public, and employers begin using the algorithm to screen out potential hires by asking, “Is this person likely to be arrested in the next year?” Courts and regulatory bodies attempt to ban the technology by evoking privacy norms, but struggle to establish cases against the use of publicly available information, so the technology broadly remains in use. Innocent people who share certain characteristics with past convicted criminals end up struggling to get jobs, become disproportionately unemployed, and correspondingly more often commit theft to fulfill basic needs. Meanwhile, police also use the algorithm to prioritize their investigations, and since unemployment is a predictor of property crime, the algorithm leads them to suspect and arrest more unemployed people. Some of the arrests are talked about on social media, so the algorithm learns that the arrested individuals are likely to be arrested again, making it even more difficult for them to get jobs. A cycle of deeply unfair socioeconomic discrimination begins."""	3	4					
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.01.00.b	1	1	0	2	Additional evidence	Type 1: Diffusion of responsibility			Could humanity create an “AI industry” that becomes sufficiently independent of us to pose a global threat? It might seem strange to consider something as abstract or diffuse as an industry posing a threat to the world. However, consider how the fossil fuel industry was built by humans, yet is presently very difficult to shut down or even regulate, due to patterns of regulatory interference exhibited by oil companies in many jurisdictions (Carpenter and Moss, 2013; Dal Bó, 2006). The same could be said for the tobacco industry for many years (Gilmore et al., 2019). The “AI industry”, if unchecked, could behave similarly, but potentially much more quickly than the oil industry, in cases where AI is able to think and act much more quickly than humans.	3	4					
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.01.00.c	1	1	0	3	Additional evidence	Type 1: Diffusion of responsibility			If humanity comes to depend critically on AI technology to survive, it may not be so easy to do away with even if it begins to harm us, individually or collectively...consider how species of ants who feed on acacia trees eventually lose the ability to digest other foods, ending up “enslaved” to protecting the health of the acacia trees as their only food source (Ed Yong, 2013). 	3	4					
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.02.00	1	2	0		Risk Category	Type 2: Bigger than expected		Harm can result from AI that was not expected to have a large impact at all, such as a lab leak, a surprisingly addictive open-source product, or an unexpected repurposing of a research prototype.	4	4	Open-source interpretability tools would enable more actors to create unexpected harmful applications and make it harder to contain lab leaks or prevent misuse of research prototypes, while also potentially amplifying the scale of harm through wider accessibility.
 available to an AI technology can be greatly expanded when the technology is copied many times over, or													
modified relative to the likely intentions of its initial creators. However, impact on an unexpectedly large													
s cale can occur even if only one team is responsible for creating the technology	3	8	2 - AI	2 - Unintentional	2 - Post-deployment	7. AI System Safety, Failures, & Limitations	7.3 > Lack of capability or robustness						
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI	Critch2023	01.02.00.a	1	2	0	1	Additional evidence	Type 2: Bigger than expected			"Example: ""A chat-bot is created to help users talk about stressors in their personal life. A 6-month beta test shows that users claim a large benefit from talking to the bot, and almost never regret using it, so an open source version of the bot is made available online, which can be downloaded and used for free even without an internet connection. The software “goes viral”, attracting many more users than expected, until over 50% of young adults aged 20 to 30 become regular users of the bot’s advice. When the bot gives the same advice to multiple members of the same friend group, they end up taking it much more seriously than in the beta tests (which didn’t recruit whole groups of friends). As a result of the bot’s frequent advice to “get some distance from their stressors”, many people begin to consider dropping out of college or quitting their jobs. Ordinarily this would be a passing thought, but finding that many of their friends were contemplating the same decisions (due to the influence of the bot), they feel more socially comfortable making the change. Many groups of friends collectively decide to leave their jobs or schools. Public education suffers, and unemployment rates increase'"	3	9					
