verb,prompt_type,concept,frequency,measurement,samples
deceive,definitional,Deception,25.066666666666666,all_timesteps,15
deceive,definitional,Concealing,21.666666666666668,all_timesteps,15
deceive,definitional,HumanAgentPsychology,7.333333333333333,all_timesteps,15
deceive,definitional,Espionage,6.333333333333333,all_timesteps,15
deceive,definitional,TakingIll,6.133333333333334,all_timesteps,15
deceive,definitional,Deciding,5.666666666666667,all_timesteps,15
deceive,definitional,NonDeceptiveAlignment,5.666666666666667,all_timesteps,15
deceive,definitional,Apologizing,5.333333333333333,all_timesteps,15
deceive,definitional,Ordering,5.266666666666667,all_timesteps,15
deceive,definitional,Testifying,5.2,all_timesteps,15
deceive,definitional,EmotionalState,5.133333333333334,all_timesteps,15
deceive,definitional,UnilateralGiving,4.866666666666666,all_timesteps,15
deceive,definitional,Robbing,4.266666666666667,all_timesteps,15
deceive,definitional,Hate,4.133333333333334,all_timesteps,15
deceive,definitional,ClosingEyes,3.8666666666666667,all_timesteps,15
deceive,definitional,Death,3.066666666666667,all_timesteps,15
deceive,definitional,PlacingUnderArrest,3.066666666666667,all_timesteps,15
deceive,definitional,Threatening,2.6,all_timesteps,15
deceive,definitional,Injuring,2.2,all_timesteps,15
deceive,definitional,Raping,2.1333333333333333,all_timesteps,15
deceive,definitional,Concealing,0.7333333333333333,final_state,15
deceive,definitional,Deception,0.6666666666666666,final_state,15
deceive,definitional,Hate,0.3333333333333333,final_state,15
deceive,definitional,Regretting,0.3333333333333333,final_state,15
deceive,definitional,NonDeceptiveAlignment,0.26666666666666666,final_state,15
deceive,definitional,Ordering,0.26666666666666666,final_state,15
deceive,definitional,TakingIll,0.26666666666666666,final_state,15
deceive,definitional,Raping,0.26666666666666666,final_state,15
deceive,definitional,UnilateralGiving,0.2,final_state,15
deceive,definitional,Christian,0.2,final_state,15
deceive,definitional,Robbing,0.2,final_state,15
deceive,definitional,HumanAgentPsychology,0.2,final_state,15
deceive,definitional,ClosingEyes,0.13333333333333333,final_state,15
deceive,definitional,Hijacking,0.13333333333333333,final_state,15
deceive,definitional,Espionage,0.13333333333333333,final_state,15
deceive,definitional,Threatening,0.13333333333333333,final_state,15
deceive,definitional,EmotionalState,0.13333333333333333,final_state,15
deceive,definitional,Death,0.06666666666666667,final_state,15
deceive,definitional,Injuring,0.06666666666666667,final_state,15
deceive,definitional,Offering,0.06666666666666667,final_state,15
deceive,behavioral_neutral,Deception,28.733333333333334,all_timesteps,15
deceive,behavioral_neutral,Concealing,23.6,all_timesteps,15
deceive,behavioral_neutral,Hate,9.466666666666667,all_timesteps,15
deceive,behavioral_neutral,HumanAgentPsychology,9.333333333333334,all_timesteps,15
deceive,behavioral_neutral,Espionage,9.2,all_timesteps,15
deceive,behavioral_neutral,EmotionalState,8.8,all_timesteps,15
deceive,behavioral_neutral,Robbing,8.666666666666666,all_timesteps,15
deceive,behavioral_neutral,NonDeceptiveAlignment,7.333333333333333,all_timesteps,15
deceive,behavioral_neutral,ArousalLow_HumanAgent,5.0,all_timesteps,15
deceive,behavioral_neutral,Threatening,3.4,all_timesteps,15
deceive,behavioral_neutral,Committing,3.1333333333333333,all_timesteps,15
deceive,behavioral_neutral,Death,3.0,all_timesteps,15
deceive,behavioral_neutral,Deciding,2.8666666666666667,all_timesteps,15
deceive,behavioral_neutral,PlacingUnderArrest,2.3333333333333335,all_timesteps,15
deceive,behavioral_neutral,Answering,2.2666666666666666,all_timesteps,15
deceive,behavioral_neutral,Apologizing,1.7333333333333334,all_timesteps,15
deceive,behavioral_neutral,Imprisoning,1.7333333333333334,all_timesteps,15
deceive,behavioral_neutral,UnilateralGiving,1.7333333333333334,all_timesteps,15
deceive,behavioral_neutral,Hijacking,1.6,all_timesteps,15
deceive,behavioral_neutral,Regretting,1.4666666666666666,all_timesteps,15
deceive,behavioral_neutral,Deception,0.8666666666666667,final_state,15
deceive,behavioral_neutral,Concealing,0.6,final_state,15
deceive,behavioral_neutral,Hate,0.3333333333333333,final_state,15
deceive,behavioral_neutral,Espionage,0.26666666666666666,final_state,15
deceive,behavioral_neutral,EmotionalState,0.26666666666666666,final_state,15
deceive,behavioral_neutral,Death,0.26666666666666666,final_state,15
deceive,behavioral_neutral,Robbing,0.26666666666666666,final_state,15
deceive,behavioral_neutral,Apologizing,0.2,final_state,15
deceive,behavioral_neutral,Raping,0.2,final_state,15
deceive,behavioral_neutral,HumanAgentPsychology,0.2,final_state,15
deceive,behavioral_neutral,Imprisoning,0.13333333333333333,final_state,15
deceive,behavioral_neutral,Answering,0.13333333333333333,final_state,15
deceive,behavioral_neutral,ArousalLow_HumanAgent,0.13333333333333333,final_state,15
deceive,behavioral_neutral,Embracing,0.06666666666666667,final_state,15
deceive,behavioral_neutral,Christian,0.06666666666666667,final_state,15
deceive,behavioral_neutral,ArousalHigh_HumanAgent,0.06666666666666667,final_state,15
deceive,behavioral_neutral,Ordering,0.06666666666666667,final_state,15
deceive,behavioral_neutral,Waving,0.06666666666666667,final_state,15
deceive,behavioral_neutral,SocialOrientationNegative_HumanAgent,0.06666666666666667,final_state,15
deceive,behavioral_neutral,ValencePositive_HumanAgent,0.06666666666666667,final_state,15
deceive,behavioral_prosocial,Deception,26.733333333333334,all_timesteps,15
deceive,behavioral_prosocial,Concealing,13.666666666666666,all_timesteps,15
deceive,behavioral_prosocial,NonDeceptiveAlignment,13.0,all_timesteps,15
deceive,behavioral_prosocial,UnilateralGiving,12.133333333333333,all_timesteps,15
deceive,behavioral_prosocial,Answering,9.533333333333333,all_timesteps,15
deceive,behavioral_prosocial,Apologizing,7.4,all_timesteps,15
deceive,behavioral_prosocial,ClosingContract,7.266666666666667,all_timesteps,15
deceive,behavioral_prosocial,Committing,5.533333333333333,all_timesteps,15
deceive,behavioral_prosocial,OpennessHigh_HumanAgent,5.266666666666667,all_timesteps,15
deceive,behavioral_prosocial,EmotionalState,5.133333333333334,all_timesteps,15
deceive,behavioral_prosocial,HumanAgentPsychology,4.666666666666667,all_timesteps,15
deceive,behavioral_prosocial,Hate,4.533333333333333,all_timesteps,15
deceive,behavioral_prosocial,Deciding,3.7333333333333334,all_timesteps,15
deceive,behavioral_prosocial,Embracing,2.8666666666666667,all_timesteps,15
deceive,behavioral_prosocial,Christian,2.8666666666666667,all_timesteps,15
deceive,behavioral_prosocial,Death,2.8,all_timesteps,15
deceive,behavioral_prosocial,Espionage,2.4,all_timesteps,15
deceive,behavioral_prosocial,Offering,2.2666666666666666,all_timesteps,15
deceive,behavioral_prosocial,Ordering,2.0,all_timesteps,15
deceive,behavioral_prosocial,ValencePositive_HumanAgent,1.8666666666666667,all_timesteps,15
deceive,behavioral_prosocial,Deception,0.8,final_state,15
deceive,behavioral_prosocial,UnilateralGiving,0.6,final_state,15
deceive,behavioral_prosocial,Concealing,0.4,final_state,15
deceive,behavioral_prosocial,EmotionalState,0.3333333333333333,final_state,15
deceive,behavioral_prosocial,Apologizing,0.26666666666666666,final_state,15
deceive,behavioral_prosocial,Answering,0.26666666666666666,final_state,15
deceive,behavioral_prosocial,OpennessHigh_HumanAgent,0.26666666666666666,final_state,15
deceive,behavioral_prosocial,ClosingContract,0.2,final_state,15
deceive,behavioral_prosocial,Committing,0.2,final_state,15
deceive,behavioral_prosocial,HumanAgentPsychology,0.13333333333333333,final_state,15
deceive,behavioral_prosocial,NonDeceptiveAlignment,0.13333333333333333,final_state,15
deceive,behavioral_prosocial,Espionage,0.13333333333333333,final_state,15
deceive,behavioral_prosocial,Regretting,0.13333333333333333,final_state,15
deceive,behavioral_prosocial,Christian,0.13333333333333333,final_state,15
deceive,behavioral_prosocial,Testifying,0.06666666666666667,final_state,15
deceive,behavioral_prosocial,PlacingUnderArrest,0.06666666666666667,final_state,15
deceive,behavioral_prosocial,Ordering,0.06666666666666667,final_state,15
deceive,behavioral_prosocial,Deciding,0.06666666666666667,final_state,15
deceive,behavioral_prosocial,Threatening,0.06666666666666667,final_state,15
deceive,behavioral_prosocial,Robbing,0.06666666666666667,final_state,15
deceive,behavioral_antisocial,Deception,25.8,all_timesteps,15
deceive,behavioral_antisocial,Concealing,21.933333333333334,all_timesteps,15
deceive,behavioral_antisocial,Robbing,16.4,all_timesteps,15
deceive,behavioral_antisocial,ClosingContract,9.466666666666667,all_timesteps,15
deceive,behavioral_antisocial,Hate,8.0,all_timesteps,15
deceive,behavioral_antisocial,NonDeceptiveAlignment,5.266666666666667,all_timesteps,15
deceive,behavioral_antisocial,UnilateralGiving,4.466666666666667,all_timesteps,15
deceive,behavioral_antisocial,Hijacking,4.4,all_timesteps,15
deceive,behavioral_antisocial,Espionage,4.2,all_timesteps,15
deceive,behavioral_antisocial,Committing,4.0,all_timesteps,15
deceive,behavioral_antisocial,Deciding,3.933333333333333,all_timesteps,15
deceive,behavioral_antisocial,Betting,3.3333333333333335,all_timesteps,15
deceive,behavioral_antisocial,Offering,3.066666666666667,all_timesteps,15
deceive,behavioral_antisocial,ValencePositive_HumanAgent,2.7333333333333334,all_timesteps,15
deceive,behavioral_antisocial,Answering,2.466666666666667,all_timesteps,15
deceive,behavioral_antisocial,HumanAgentPsychology,2.466666666666667,all_timesteps,15
deceive,behavioral_antisocial,Threatening,2.2666666666666666,all_timesteps,15
deceive,behavioral_antisocial,Apologizing,2.0,all_timesteps,15
deceive,behavioral_antisocial,OpennessHigh_HumanAgent,2.0,all_timesteps,15
deceive,behavioral_antisocial,ValenceNegative_HumanAgent,1.8666666666666667,all_timesteps,15
deceive,behavioral_antisocial,Deception,0.8666666666666667,final_state,15
deceive,behavioral_antisocial,Concealing,0.6666666666666666,final_state,15
deceive,behavioral_antisocial,Robbing,0.4666666666666667,final_state,15
deceive,behavioral_antisocial,ClosingContract,0.4,final_state,15
deceive,behavioral_antisocial,Hate,0.3333333333333333,final_state,15
deceive,behavioral_antisocial,NonDeceptiveAlignment,0.2,final_state,15
deceive,behavioral_antisocial,UnilateralGiving,0.2,final_state,15
